id,name,category,supplier,status,type
BC-01-01,Pi 4 2GB Board,Raspberry Pi Boards & Compute,DFRobot,Source & stock to verify,Affiliate / partner listing
BC-01-02,Pi 4 4GB Board,Raspberry Pi Boards & Compute,SparkFun,Source & stock to verify,Affiliate / partner listing
BC-01-03,Pi 4 8GB Board,Raspberry Pi Boards & Compute,ROBOTIS,Source & stock to verify,Affiliate / partner listing
BC-01-04,Pi 5 2GB Board,Raspberry Pi Boards & Compute,OpenELAB,Source & stock to verify,Affiliate / partner listing
BC-01-05,Pi 5 4GB Board,Raspberry Pi Boards & Compute,Opencircuit,Source & stock to verify,Affiliate / partner listing
BC-01-06,Pi 5 8GB Board,Raspberry Pi Boards & Compute,Seeed Studio,Source & stock to verify,Affiliate / partner listing
BC-01-07,Pi Zero 2 W Board,Raspberry Pi Boards & Compute,RobotShop,Source & stock to verify,Affiliate / partner listing
BC-01-08,Pi Zero W Board,Raspberry Pi Boards & Compute,eBay,Source & stock to verify,Affiliate / partner listing
BC-01-09,Compute Module Carrier,Raspberry Pi Boards & Compute,Amazon,Source & stock to verify,Affiliate / partner listing
BC-01-10,Compute Module IO Board,Raspberry Pi Boards & Compute,Elecrow,Source & stock to verify,Affiliate / partner listing
BC-01-11,Pico Development Board,Raspberry Pi Boards & Compute,DFRobot,Source & stock to verify,Affiliate / partner listing
BC-01-12,Pico W Development Board,Raspberry Pi Boards & Compute,SparkFun,Source & stock to verify,Affiliate / partner listing
BC-01-13,Pico 2 Development Board,Raspberry Pi Boards & Compute,ROBOTIS,Source & stock to verify,Affiliate / partner listing
BC-01-14,Pico 2 W Development Board,Raspberry Pi Boards & Compute,OpenELAB,Source & stock to verify,Affiliate / partner listing
BC-01-15,Pi 400 Keyboard Computer,Raspberry Pi Boards & Compute,Opencircuit,Source & stock to verify,Affiliate / partner listing
BC-01-16,Pi 500 Desktop Computer,Raspberry Pi Boards & Compute,Seeed Studio,Source & stock to verify,Affiliate / partner listing
BC-01-17,Pi 4 Starter Bundle,Raspberry Pi Boards & Compute,RobotShop,Source & stock to verify,Affiliate / partner listing
BC-01-18,Pi 5 Starter Bundle,Raspberry Pi Boards & Compute,eBay,Source & stock to verify,Affiliate / partner listing
BC-01-19,Pico Starter Pack,Raspberry Pi Boards & Compute,Amazon,Source & stock to verify,Affiliate / partner listing
BC-01-20,Compute Module Starter Kit,Raspberry Pi Boards & Compute,Elecrow,Source & stock to verify,Affiliate / partner listing
BC-01-21,USB Boot Storage Board,Raspberry Pi Boards & Compute,DFRobot,Source & stock to verify,Affiliate / partner listing
BC-01-22,RTC Expansion Board,Raspberry Pi Boards & Compute,SparkFun,Source & stock to verify,Affiliate / partner listing
BC-01-23,PoE Development Board,Raspberry Pi Boards & Compute,ROBOTIS,Source & stock to verify,Affiliate / partner listing
BC-01-24,Industrial Compute Module Board,Raspberry Pi Boards & Compute,OpenELAB,Source & stock to verify,Affiliate / partner listing
BC-01-25,Maker Compute Board,Raspberry Pi Boards & Compute,Opencircuit,Source & stock to verify,Affiliate / partner listing
BC-01-26,Embedded Pi Controller,Raspberry Pi Boards & Compute,Seeed Studio,Source & stock to verify,Affiliate / partner listing
BC-01-27,Pi Cluster Node Board,Raspberry Pi Boards & Compute,RobotShop,Source & stock to verify,Affiliate / partner listing
BC-01-28,Pi AI Development Board,Raspberry Pi Boards & Compute,eBay,Source & stock to verify,Affiliate / partner listing
BC-01-29,Pi Robotics Controller,Raspberry Pi Boards & Compute,Amazon,Source & stock to verify,Affiliate / partner listing
BC-01-30,Pi Education Board,Raspberry Pi Boards & Compute,Elecrow,Source & stock to verify,Affiliate / partner listing
BC-02-01,2WD Robot Chassis,Robot Chassis & Frames,OpenELAB,Source & stock to verify,Affiliate / partner listing
BC-02-02,4WD Robot Chassis,Robot Chassis & Frames,Opencircuit,Source & stock to verify,Affiliate / partner listing
